UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q9JHU4	-0.125	-0.091	-0.106	-0.0565
Q5F226	2.273	2.416	2.165	2.3345
P11881-2	0.108	0.075	0.074	0.0755
Q61879	-0.162	-0.063	-0.119	-0.0045
A0A087WRT4	1.763	1.823	1.609	1.6855
Q68FG2	0.184	0.265	0.134	0.2195
Q91ZX7	0.19	0.255	0.127	0.1815
Q8C8R3-4	-0.087	-0.025	-0.084	-0.0235
Q5SXR6	-0.104	-0.069	-0.127	-0.0935
A3KGU7	0.333	0.42	0.2	0.2985
Q9QXS1	-0.122	-0.009	-0.106	0.0055
E9QPD7	-0.627	-0.716	-0.506	-0.5845
P19096	-0.155	-0.229	-0.126	-0.1915
Q80Y	1.166	1.279	0.99	1.1055
D3Z4J3	-0.224	-0.182	-0.208	-0.1445
F8WHB1	0	0.065	-0.041	0.0415
A0A0J9YUN4	-0.064	-0.021	-0.104	-0.0645
Q6PIC6	0.085	0.154	0.004	0.0805
P12960	1.114	1.165	0.92	0.9905
A0A087WPX3	1.068	1.187	0.837	0.9625
P13595	1.357	1.524	1.131	1.3055
Q01853	0.077	0.141	0.113	0.1785
Q8CGC7	-0.215	-0.221	-0.095	-0.1245
Q91ZA3	-1.03	-1.053	-0.821	-0.8325
Q3U2G2	0.044	0.058	0.069	0.0985
Q9QYR6	0.257	0.348	0.169	0.2975
P11499	0.004	0.022	0.061	0.1045
Q99KI0	-0.107	-0.014	-0.097	0.0015
P70232	1.98	2.028	1.746	1.8175
Q8R0Y6	-0.045	-0.137	-0.012	-0.0925
P14733	-0.262	-0.191	-0.126	-0.0635
O08599	-0.207	-0.109	-0.207	-0.1195
Q6P4T2	-0.055	-0.093	-0.026	-0.0645
Q9WV92	-0.056	0.068	-0.039	0.0915
P63017	0.008	0.139	0.069	0.2245
B0V2P5	-0.081	-0.058	-0.107	-0.0825
Q8CAQ8-2	-0.022	0.142	-0.03	0.1395
Q9EPN1	-0.182	-0.188	-0.116	-0.1095
P20152	-0.155	-0.164	-0.012	-0.0095
P58252	-0.101	-0.176	-0.045	-0.0825
O55143	-0.078	-0.054	-0.085	-0.0535
E9QNN1	-0.185	-0.251	-0.135	-0.1595
Q8BYI9	0.895	0.961	0.718	0.7865
Q60597-4	-0.155	-0.178	-0.137	-0.1425
P46460	-0.099	-0.043	-0.141	-0.0815
E9Q7S0	-0.147	-0.129	-0.17	-0.1385
Q61330	1.165	1.152	0.966	0.9655
Q8CI94	-0.167	-0.176	-0.183	-0.1775
P52480	0.007	-0.059	-0.001	-0.0445
Q8VEK3	-0.247	-0.298	-0.103	-0.1455
Q91UZ1	0.118	0.083	0.092	0.0575
Q99MR8	-0.941	-0.973	-0.766	-0.8015
Q02053	0.008	0.1	0.039	0.1445
E9QNF7	0.597	0.624	0.435	0.5005
E9PVY8	-0.01	0.034	0.011	0.0445
Q99PV0	-0.183	-0.308	-0.134	-0.2605
Q6PGJ3	2.229	2.347	1.849	2.0055
P17710	-0.141	-0.08	-0.167	-0.1105
Q9Z0J4-5	-0.132	-0.227	-0.091	-0.1625
Q64514-2	-0.121	-0.141	-0.089	-0.0975
Q80TJ1-4	-0.038	0.028	-0.048	0.0225
E9QAS5	-0.083	-0.088	-0.037	-0.0435
P97772	0.925	1.011	0.769	0.8845
Q6P1J1	-0.128	-0.127	-0.045	-0.0545
P47857	-0.057	-0.047	-0.082	-0.0705
E9PZ16	0.133	0.192	0.065	0.1195
P17426	-0.097	-0.081	-0.125	-0.1205
P63318	0.007	-0.048	-0.026	-0.0685
O88307	0.309	0.426	0.268	0.4275
Q5SWU9	-0.305	-0.387	-0.285	-0.3495
Q64487	0.279	0.224	0.219	0.1845
Q8BMS1	-0.068	-0.124	-0.07	-0.1145
Q9CS84	0.936	0.959	0.776	0.8145
Q11011	-0.019	-0.001	0.015	0.0425
Q3V117	-0.146	-0.186	-0.146	-0.1805
P50396	-0.141	-0.09	-0.052	-0.0005
Q64511	-0.156	-0.239	-0.067	-0.1415
Q64521	0.011	0.044	-0.014	0.0235
Q91VD9	-0.097	0.037	-0.087	0.0545
E9QK04	1.13	1.171	0.928	0.9855
Q9Z1B3	-0.039	-0.026	-0.011	-0.0085
Q69ZU6	1.389	1.433	1.129	1.2175
E9Q3M3	-0.146	0.033	-0.082	0.0835
Q03265	-0.059	-0.041	-0.068	-0.0395
P40142	-0.21	-0.194	-0.133	-0.1025
P26041	-0.248	-0.197	-0.242	-0.1675
Q8BGQ7	-0.106	-0.004	-0.088	0.0245
Q9DBG3-2	-0.213	-0.155	-0.18	-0.1125
Q9R1V6-11	0.41	0.444	0.305	0.3205
Q6PHS9	1.858	1.896	1.604	1.6405
Q9CU62	-0.183	-0.075	-0.094	0.0185
E9Q8N8	0.466	0.56	0.334	0.4595
Q810U4-3	1.905	2.02	1.6	1.7445
Q61656	-0.119	-0.125	-0.047	-0.0525
P28738	0.079	0.211	0.114	0.2495
B2RXS4	0.751	0.73	0.599	0.6125
Q9QYX7	-0.095	-0.067	-0.096	-0.0675
A2AFQ0	-0.156	-0.099	-0.115	-0.0845
Q78PY7	-0.129	-0.153	-0.064	-0.0795
P23819-4	0.487	0.489	0.419	0.4365
D3YZU1	-0.036	-0.017	-0.037	-0.0245
P17182	0.042	0.101	0.094	0.1265
P16330	-0.283	-0.139	-0.338	-0.1925
P50516	-0.145	-0.041	-0.124	-0.0305
P03995	-0.19	-0.158	-0.021	-0.0105
Q61625	0.684	0.683	0.609	0.6655
Q8CIE6	-0.155	-0.209	-0.082	-0.1185
P62814	0.007	-0.031	-0.03	-0.0685
F7DCH5	-0.253	-0.101	-0.191	-0.0375
E9PVY0	-0.125	-0.056	-0.09	-0.0235
O88935	-0.162	-0.09	-0.145	-0.0625
Q8BTM8	-0.016	0.024	0.058	0.0705
K3W4R5	-0.027	0.083	0.005	0.1135
P56399	0.071	0.06	0.069	0.0565
Q6P5E4	0.272	0.212	0.287	0.2435
P68372	0.143	0.194	0.118	0.1695
Q5SWZ5	0.124	0.201	0.099	0.1465
Q3UH60	-0.135	-0.213	-0.118	-0.1995
E9Q1G8	-0.253	-0.229	-0.202	-0.1705
Q8R1	-0.053	-0.077	-0.107	-0.1345
Q91VR5	-0.067	-0.139	-0.018	-0.0855
O08532-5	1.798	1.853	1.564	1.5745
Q9D0E1	-0.144	-0.083	-0.088	-0.0285
E9Q0J5	0.029	0.086	0	0.0665
Q91V14-2	0.137	0.162	0.078	0.1105
Q9QYC0	-0.096	-0.066	-0.098	-0.0385
Q6ZPE2-2	-0.063	-0.109	-0.056	-0.0995
Q00PI9	-0.139	-0.143	-0.087	-0.0885
Q80TS3	1.089	1.141	0.837	0.8645
B1AQX9	-0.221	-0.075	-0.138	0.0055
P09411	0.006	0.16	0.012	0.1545
Q922D8	-0.101	-0.074	-0.048	-0.0245
Q69ZK0	-0.181	-0.148	-0.175	-0.1055
Q9Z218	0.152	0.157	0.095	0.1195
P68369	0.135	0.167	0.147	0.1805
A0A087WQE8	-0.006	-0.036	-0.009	-0.0395
P80316	0.038	0.063	0.101	0.1055
Q8VIJ6	-0.343	-0.262	-0.211	-0.1565
P63038	0.071	0.239	0.059	0.2305
O54991	0.525	0.562	0.414	0.4435
P28271	-0.136	-0.175	-0.067	-0.1335
P05064	-0.004	0.072	-0.031	0.0415
E9Q7G0	-0.03	0	0.04	0.0765
P10126	-0.066	-0.187	0.035	-0.0965
F8VQJ3	0.38	0.52	0.257	0.4225
K3W4T3	0.137	0.026	-0.003	-0.0915
P47708	-0.07	0.018	-0.053	0.0655
Q8BMK4	2.187	2.216	2.206	2.2725
Q8BH59	-0.2	-0.205	-0.215	-0.1965
Q61543	1.057	1.13	1.068	1.1325
Q3U1J4	0.008	-0.012	-0.013	-0.0355
Q9Z1Q9	-0.215	-0.258	-0.156	-0.2005
P56480	0.052	0.241	0.058	0.2625
P54763-2	0.654	0.656	0.503	0.5355
Q9JME5	-0.029	0.006	-0.022	0.0015
P26443	-0.203	-0.188	-0.175	-0.1545
Q61292	0.004	0.109	-0.011	0.0585
Q99K48	-0.148	-0.154	-0.114	-0.1275
E9Q401	-0.031	-0.024	-0.025	-0.0375
E9PZ43	-0.091	-0.006	-0.089	0.0095
P97445	-0.002	0.034	-0.022	0.0095
P14824	0.136	0.203	0.063	0.1475
P80313	-0.113	-0.173	-0.074	-0.1065
Q9CW03	-0.158	-0.066	-0.088	0.0035
Q8BHN3	-0.002	-0.041	0.03	0.0145
B9EKR1	2.688	2.8	2.375	2.4915
Q8QZT1	-0.06	-0.043	0.005	0.0335
P08003	0.193	0.23	0.273	0.3025
Q9EPU0	-0.032	-0.056	0.012	-0.0205
O35954	-0.044	-0.027	-0.063	-0.0415
E9PUA3	-0.119	-0.094	-0.144	-0.1025
Q9QYB5-2	-0.111	-0.093	-0.082	-0.0725
Q80U28	0.047	0.012	0.031	0.0325
P29341	-0.232	-0.155	-0.11	-0.0295
Q8R081	-0.116	-0.144	-0.009	-0.0045
P11983	-0.048	-0.112	-0.032	-0.0805
Q91XM9-7	-0.069	0.069	-0.037	0.1155
Q8K0U4	-0.046	-0.033	-0.119	-0.0935
P61922	-0.028	0.015	-0.096	-0.0245
P80318	0.001	0.045	0.056	0.0965
Q80SW1	-0.194	-0.069	-0.159	-0.0485
Q6ZQ38	-0.002	0.098	-0.009	0.0855
Q3UHJ0	-0.039	0.042	-0.02	0.0475
Q9JKR6	0.483	0.55	0.521	0.5655
Q9JKY5	-0.089	-0.017	-0.096	-0.0025
P60710	0.006	0.047	0.015	0.0465
P16858	-0.054	-0.077	-0.03	-0.0545
Q8K2B3	-0.177	-0.154	-0.171	-0.1255
Q99PU5	-0.077	0.028	-0.072	0.0065
P42932	-0.022	0.016	0.019	0.0375
P27773	1.461	1.627	1.582	1.7865
Q921M3	-0.02	-0.09	0.005	-0.0585
Q80UG2	0.271	0.287	0.194	0.2225
E9QAX2	-0.1	-0.034	-0.047	0.0105
P35486	-0.127	-0.096	-0.164	-0.1025
Q0KL02-4	0.052	0.074	0.036	0.0685
A2AN08-5	-0.031	-0.063	0.005	-0.0385
Q9Z1N5	0.156	0.063	0.159	0.1085
P58281-2	0.045	0.167	0.023	0.1605
Q8CJH3	0.462	0.502	0.322	0.4105
O88342	-0.124	-0.076	-0.087	-0.0555
Q9EQF6	-0.227	-0.231	-0.165	-0.1495
Q8BG05	-0.185	-0.12	-0.111	-0.0245
Q61361	0.479	0.573	0.285	0.3945
Q8C419	0.292	0.284	0.218	0.2435
E9PYH0	1.458	1.507	1.191	1.2515
Q9JLM8	-0.153	-0.134	-0.032	0.0075
E9Q3V9	0.697	0.66	0.609	0.5365
P16054	-0.191	-0.186	-0.121	-0.1245
Q922B2	-0.197	-0.246	-0.119	-0.1545
F8VPK8	1.642	1.714	1.349	1.4335
Q99LF4	-0.079	-0.086	-0.007	-0.0085
Q8BMJ2	-0.209	-0.275	-0.159	-0.2205
F8VPK5	-0.192	-0.109	-0.162	-0.0805
Q8CFX3	2.157	2.273	2.013	2.2045
Q64737	0.019	-0.041	0.043	0.0225
P51660	-0.173	-0.144	-0.136	-0.1155
P20357	0.076	0.229	0.067	0.2195
Q7TMK9-2	-0.064	-0.052	0.001	0.0235
P38647	0.07	0.197	0.028	0.1685
P80317	-0.005	-0.022	0.037	0.0395
Q8BFR5	-0.24	-0.162	-0.203	-0.1025
Q9DB77	-0.216	-0.125	-0.186	-0.0735
P06745	-0.099	-0.011	-0.068	0.0025
Q8VDM4	-0.079	-0.036	-0.04	0.0255
Q9JMB8	0.928	0.953	0.799	0.8005
Q99NE5-6	-0.224	-0.214	-0.2	-0.1665
Q8BVQ9	-0.029	0.004	0.031	0.0255
Q91YT0	-0.092	-0.106	-0.131	-0.1205
Q91YQ5	0.016	-0.015	0.046	0.0055
O88569	-0.303	-0.154	-0.178	-0.0375
V9GX76	-0.103	-0.041	-0.106	-0.0515
Q8K310	-0.258	-0.102	-0.149	0.0115
P48962	-0.279	-0.322	-0.285	-0.3085
P57780	0.169	0.286	0.153	0.2695
Q99P72	0.335	0.364	0.229	0.2735
P46096	-0.001	0.067	-0.035	0.0435
P08249	-0.06	-0.024	-0.062	-0.0185
Q04447	0.122	0.195	0.069	0.1665
Q8CGY8	-0.033	-0.047	0	0.0145
Q8BW86	0.003	0.103	0.038	0.1105
Q9WV34-2	-0.095	-0.019	-0.099	-0.0175
P05202	-0.268	-0.127	-0.228	-0.0855
Q9QUR6	0.066	-0.069	0.04	-0.0775
Q8VDJ3	-0.075	0.004	-0.035	0.0305
Q3TXS7	0.03	0.03	0.079	0.0675
P61979-2	-0.133	-0.033	-0.051	0.0145
Q9D8E6	-0.264	-0.317	-0.159	-0.2005
P08775	-0.095	-0.119	-0.048	-0.0475
A0JNY3	0.056	0.058	0.042	0.0525
O54774	-0.186	-0.182	-0.165	-0.1345
P23116	-0.17	-0.033	-0.081	0.0285
Q80T41	0.544	0.608	0.407	0.4805
P14211	0.557	0.71	0.538	0.7085
Q9D0K2	-0.052	-0.015	-0.032	-0.0085
Q9Z0	-0.015	-0.022	0.002	0.0025
E9Q0N0	-0.1	-0.105	-0.102	-0.0715
Q4KMM3	-0.121	0.055	-0.056	0.0875
F8VPN4	-0.108	-0.141	-0.113	-0.1415
Q9D0I9	0.002	-0.013	0.032	0.0075
Q8K1M6	0.106	0.195	0.073	0.1685
P63101	0.046	0.143	0.038	0.1555
Q5SUR0	-0.088	-0.138	-0.029	-0.0645
Q60932-2	-0.022	-0.065	-0.039	-0.0855
Q91ZW3	-0.166	-0.206	-0.042	-0.0865
P70398	-0.093	-0.053	-0.069	-0.0075
P28652	-0.027	-0.023	-0.031	-0.0015
Q6GQT9	0.292	0.224	0.27	0.2285
Q01279	0.867	0.886	0.623	0.7115
E9Q035	-0.09	0.052	-0.032	0.1375
P15105	-0.129	0.006	-0.157	-0.0175
Q6ZPJ3	-0.115	-0.069	-0.049	0.0045
Q6IR34	0.064	0.027	0.047	0.0315
Q8K596	0.042	0.106	-0.009	0.0435
Q8VDP4	-0.011	0.033	0.032	0.0745
Q80TZ3	-0.105	-0.046	-0.066	0.0165
Q61553	-0.107	-0.202	-0.113	-0.1795
Q5SUF7	0.269	0.31	0.247	0.3355
P14685	-0.16	-0.199	-0.138	-0.1935
P15116	1.876	1.916	1.494	1.5415
P10493	0.299	0.331	0.206	0.2275
G5E866	-0.221	-0.157	-0.155	-0.1065
Q8VDM6	-0.095	-0.098	-0.018	-0.0255
E9QMR2	-0.108	-0.126	-0.099	-0.1195
Q8K0T0	0.33	0.469	0.253	0.4235
A0A0R4J0S4	-0.015	-0.032	-0.005	-0.0195
Q8R1A4	-0.108	-0.177	-0.046	-0.1055
Q8BWF0	-0.12	-0.034	-0.109	-0.0335
E9PXY8	0.051	0.011	0.058	0.0295
Q9WTS4	0.529	0.467	0.403	0.3785
Q61191	-0.183	-0.161	-0.088	-0.0665
O08749	0.122	0.127	0.106	0.1185
Q69ZK9	0.729	0.715	0.543	0.5375
Q8VDQ8	-0.126	0.021	-0.203	-0.0415
Q6PGN3-3	-0.147	-0.191	-0.122	-0.1345
D3Z230	0.083	0.044	0.007	-0.0115
D3Z7P3	-0.062	0.073	-0.034	0.0695
Q5XJY5	-0.139	-0.186	-0.08	-0.1195
O35286	-0.194	-0.302	-0.145	-0.2165
Q6ZWX6	-0.002	-0.049	0.023	0.0025
Q9WUM4	-0.186	-0.237	-0.131	-0.1525
P14094	0.836	1.079	0.651	0.8725
H3BJZ7	-0.133	-0.074	-0.109	-0.0615
Q91YM2	-0.094	-0.112	-0.001	-0.0245
O88485	0.025	0.046	0.012	0.0055
A0A0A6YWR8	-0.271	-0.253	-0.17	-0.1755
Q924X6	1.222	1.266	0.98	1.0395
P30416	-0.051	-0.03	0.035	0.0755
P35235	-0.047	-0.028	-0.004	-0.0015
P40124	-0.006	-0.052	-0.047	-0.0615
Q8CFI7	-0.155	-0.208	-0.048	-0.1095
P46935	0.109	0.049	0.107	0.0225
O70589	-0.036	-0.024	-0.066	-0.0185
Q505N6	-0.154	-0.086	-0.064	-0.0285
Q02248	-0.044	-0.021	-0.066	-0.0215
Q9EQ20	-0.049	-0.019	-0.029	0.0125
E9PUM4	0.054	0.048	-0.016	-0.0045
Q9CZD3	-0.177	-0.189	-0.136	-0.1285
Q8VCW8	-0.038	-0.045	-0.04	-0.0395
Q9CZ13	-0.06	0.049	-0.032	0.0635
Q8BU30	-0.095	-0.085	-0.084	-0.0855
P16125	-0.109	-0.005	-0.208	-0.1045
E9QM38	0.101	0.143	0.003	0.0665
P28740-2	-0.164	-0.168	-0.164	-0.1505
A2AHJ7	-0.026	-0.012	-0.022	-0.0135
E9PYT0	-0.102	-0.071	-0.075	-0.0595
Q9JHR7	-0.043	-0.193	-0.149	-0.2675
P10852	0.533	0.576	0.369	0.4355
A2AS98	-0.129	-0.175	-0.12	-0.1595
Q60841	0.75	0.677	0.617	0.5885
Q9R1R2	-0.08	-0.085	-0.071	-0.0475
Q9ERU9	-0.015	0.016	-0.002	0.0465
Q3THK7	0.009	0.001	0.037	0.0705
P63328	-0.102	-0.015	-0.088	0.0065
A0A0R4J0J1	0.109	0.014	0.05	-0.0315
Q61753	-0.041	0.039	0.01	0.0795
Q9Z1X4-3	-0.309	-0.232	-0.195	-0.1185
Q8JZQ9	-0.078	-0.099	-0.026	-0.0265
P28661	0.03	0.084	-0.03	0.0385
Q9CPY7	0.078	0.077	0.077	0.0605
Q9JIF7	-0.059	-0.066	-0.013	-0.0065
P09103	0.619	0.771	0.634	0.7775
Q921G7	-0.022	-0.032	-0.01	-0.0125
P17751	0.07	0.216	0.023	0.1865
Q9Z2I9	-0.19	-0.085	-0.218	-0.1155
Q8C2Q3	-0.221	-0.236	-0.093	-0.0745
Q9WV18	0.597	0.552	0.441	0.4485
Q9QY81	0.153	0.11	0.137	0.0995
Q68EF4	0.304	0.277	0.207	0.1835
B2RQC6	-0.07	-0.17	-0.015	-0.1545
Q8C2Q7	-0.004	0.005	-0.005	0.0315
Q6ZWR6	0.103	0.098	0.095	0.0895
Q80VC9-5	-0.119	0.08	-0.092	0.1315
O55029	-0.115	-0.148	-0.022	-0.0875
Q80VP0	-0.037	-0.061	-0.066	-0.0675
P97807	0.076	0.149	0.069	0.1415
Q58A65	0.069	0.161	0.108	0.1465
P80314	0.123	0.228	0.173	0.2645
Q99LC3	-0.219	-0.148	-0.11	-0.0415
Q9QUR8	0.25	0.185	0.202	0.1525
Q569Z5	-0.196	-0.179	-0.12	-0.0835
Q3UH99	1.505	1.547	1.165	1.3015
P63037	-0.052	0.011	0.007	0.0705
Q91X	1.508	1.608	1.314	1.4745
Q9D051	-0.158	-0.09	-0.138	-0.0655
Q99JY9	-0.092	-0.043	-0.053	-0.0035
Q6ZQ08-4	0.019	-0.054	0.011	-0.0265
Q99MK8	-0.101	-0.13	-0.072	-0.0955
P35564	1.018	1.104	1.051	1.1385
O88844	0.113	0.137	0.096	0.1665
Q91W50	-0.288	-0.27	-0.21	-0.1665
P28474	-0.033	-0.033	0.051	0.0155
P43406	0.661	0.675	0.435	0.5025
M0QWP1	0.217	0.234	0.11	0.1555
P24270	-0.263	-0.137	-0.142	-0.0285
A2AJA9	-0.255	-0.195	-0.192	-0.1675
P47738	-0.09	-0.032	-0.083	-0.0165
P30275	-0.033	0.114	-0.113	0.0635
Q9Z1F9	-0.218	-0.132	-0.113	-0.0335
Q3UPL0	-0.151	-0.129	-0.162	-0.1065
Q8BML9	-0.013	-0.065	-0.001	-0.0585
A0A0R4J117	0.515	0.611	0.332	0.4485
E9PUC5	-0.239	-0.182	-0.192	-0.1195
Q9ES28	-0.097	-0.062	-0.05	-0.0255
Q99MN9	-0.172	-0.229	-0.177	-0.2175
Q921K2	-0.134	-0.18	-0.012	-0.0505
Q8BP47	-0.031	-0.076	-0.005	-0.0315
O08529	-0.161	-0.061	-0.074	0.0005
Q8R050	0.052	0.02	0.103	0.0325
Q5SQX6	-0.139	-0.14	-0.137	-0.1255
Q8BSY0	0.775	0.801	0.745	0.8175
Q921F4	-0.029	-0.084	-0.011	-0.0755
Q62351	-0.147	-0.026	-0.08	0.0105
Q8BMF4	-0.086	-0.036	-0.1	-0.0685
Q920I9	-0.259	-0.212	-0.203	-0.1775
P62874	-0.013	-0.066	-0.048	-0.0865
P84091	-0.151	-0.184	-0.151	-0.1645
Q91VE0	-0.162	-0.145	-0.112	-0.1065
Q6P5D8	-0.089	-0.194	-0.007	-0.1075
P47757-2	-0.075	-0.019	0.023	0.0805
F8WHY8	-0.214	-0.282	-0.113	-0.1635
O35129	-0.22	-0.266	-0.215	-0.2215
Q9Z110	-0.005	-0.103	0.025	-0.0735
Q80Z10	0.701	0.607	0.53	0.4525
Q91ZJ5-2	-0.071	-0.07	-0.034	-0.0265
E9QN70	0.611	0.757	0.668	0.8035
Q01405	-0.073	-0.146	-0.083	-0.1675
P14152	0.176	0.253	0.172	0.2685
V9GXM1	0.114	0.148	0.095	0.1465
Q80ZF8	0.724	0.75	0.598	0.6455
P10630	-0.042	-0.076	-0.017	-0.0695
P18872	-0.106	-0.055	-0.083	-0.0715
Q9QZE5	0.129	0.047	0.12	0.0395
Q91V41	0.012	-0.049	-0.013	-0.0615
Q8VHY0	0.344	0.348	0.197	0.2345
Q8BI84	1.269	1.252	1.216	1.2905
P62908	-0.143	-0.177	-0.077	-0.1195
P50580	-0.066	-0.117	-0.003	-0.0545
Q76MZ3	0.281	0.325	0.168	0.1965
Q3ULD5	-0.052	-0.083	-0.032	-0.0545
P31324	0.08	0.118	0.081	0.1185
Q99JY0	-0.223	-0.162	-0.141	-0.0945
P61161	-0.084	-0.096	-0.052	-0.0785
P51432	0.122	0.137	0.045	0.1075
Q6XE40	0.169	0.171	0.104	0.1745
P35922-3	-0.143	-0.172	-0.125	-0.1395
Q3U7R1	0.05	0.038	-0.007	0.0085
E9QB02	-0.087	-0.113	-0.087	-0.0825
Q4V9Z5-2	0.971	1.332	0.781	1.1525
Q5U458	-0.075	-0.087	-0.041	-0.0475
Q80UJ7	0.018	0.047	-0.041	0.0035
Q64133	-0.187	-0.197	-0.16	-0.1635
Q8CCK0	-0.088	-0.106	-0.035	-0.0775
Q99KP6	-0.15	-0.239	-0.084	-0.1365
Q9D5V5	-0.088	-0.141	-0.027	-0.1215
Q9D0R2	-0.081	-0.186	-0.07	-0.1295
K4DI58	1.917	2.041	1.528	1.6765
Q9Z204-2	-0.008	-0.02	0.061	0.0555
Q91Y09	1.432	1.523	1.293	1.3565
Q3TEA8	-0.317	-0.265	-0.298	-0.2125
Q921F2	-0.046	-0.09	-0.013	-0.0745
O55201	-0.082	-0.037	0.032	0.0305
Q00612	-0.183	-0.174	-0.089	-0.0725
P15208	0.988	1.142	0.871	1.0025
P51863	-0.019	-0.051	-0.033	-0.0675
